authorId,name
4993754,A. Gachagan
2056109181,Stephen Marshall
3140463,M. H. Hesamian
1714410,W. Jia
1706670,Xiangjian He
145688205,Paul J. Kennedy
152158598,Daniel A. Roberts
8904571,Sho Yaida
30030844,Boris Hanin
2113919899,Ce Zheng
2139644197,Wenhan Wu
1390892946,Taojiannan Yang
9385903,Sijie Zhu
40590308,Chen Chen
153596655,Ruixu Liu
143601865,Ju Shen
30567641,N. Kehtarnavaz
145103012,M. Shah
2109724483,Xia Hu
2074100,Lingyang Chu
145525190,J. Pei
1390517481,Weiqing Liu
152441498,Jiang Bian
66527290,Kenneth Atz
3674456,F. Grisoni
144522872,G. Schneider
40342882,Jonathan M. Stokes
1410652795,Kevin Yang
2053382533,Kyle Swanson
2400119,Wengong Jin
1398718391,Andrés Cubillos-Ruiz
47847981,Nina M. Donghia
7224748,C. MacNair
40132679,S. French
13985424,L. Carfrae
1401136438,Zohar Bloom-Ackermann
2051744041,Victoria M. Tran
1404524276,Anush Chiappino-Pepe
144777372,A. Badran
39786866,Ian W. Andrews
48424800,Emma J. Chory
145892667,G. Church
2197879,E. Brown
35132120,T. Jaakkola
1741283,R. Barzilay
2231125920,J. Collins
2117010689,Shuo Wang
152457211,Y. Zha
1718510,Wei-min Li
5043495,Qingxia Wu
50079300,Xiaohu Li
49841350,M. Niu
151474549,Meiyun Wang
153422527,Xiaoming Qiu
36745854,Hongjun Li
48003143,He Yu
31449681,Wei Gong
1992767315,Yan Bai
2156057290,Li Li
2116512447,Yongbei Zhu
2108552060,Liusu Wang
1470565241,Jie Tian
3308963,Qingsong Wen
2110940896,Liang Sun
47684615,Xiaomin Song
2115556482,Jing Gao
2118294665,Xue Wang
2124947593,Huan Xu
40428350,Kexin Pei
3139121,Yinzhi Cao
152211006,Junfeng Yang
39400201,S. Jana
1715430,M. Sensoy
11213556,M. Kandemir
1795727,Lance M. Kaplan
70137278,S. Suganyadevi
148318113,V. Seethalakshmi
9210990,K. Balasamy
2085709,Aston Zhang
32219137,Zachary Chase Lipton
2124778071,Mu Li
78088877,Alexander J. Smola
34859953,Yisheng Lv
2241838,Y. Duan
1903243,Wenwen Kang
2146248481,Z. Li
143769760,Feiyue Wang
2500309,Federico Monti
1804261,Davide Boscaini
2426718,Jonathan Masci
1796150,E. Rodolà
2064928589,Jan Svoboda
1732570,M. Bronstein
2144142273,Yongquan Yang
2064714478,Haijun Lv
2090390785,Ning Chen
2392816887,Lei Ma
2282961507,Xueliang Zhang
2392814479,Yuanxin Ye
2238097444,Gaofei Yin
3194878,Chaoyun Zhang
144555592,P. Patras
1763096,H. Haddadi
48806258,Ziwei Zhang
143738684,Peng Cui
145583986,Wenwu Zhu
2681954,Y. Gal
1565641737,François Chollet
1789499,E. Weinan
46806278,Ting Yu
33075217,Kristof T. Schütt
10667063,H. Sauceda
51005232,P. Kindermans
2462983,A. Tkatchenko
145034054,K. Müller
2108039714,Jian Zhou
1754521,O. Troyanskaya
1700892,Z. Li
2068865,Deqing Zou
5030313,Shouhuai Xu
2456308,Xinyu Ou
145914256,Hai Jin
2116429557,Sujuan Wang
2112887959,Yuyi Zhong
1751762,Yoshua Bengio
1695689,Geoffrey E. Hinton
68972911,Kai Arulkumaran
2261881,M. Deisenroth
35167962,Miles Brundage
2815535,A. Bharath
2113872426,Rene Y. Choi
3719099,Aaron S. Coyner
1401724111,Jayashree Kalpathy-Cramer
1764601,M. Chiang
2107231340,J. Campbell
2152127024,Gong Cheng
2110972204,Xingxing Xie
7181955,Junwei Han
143621713,Lei Guo
51280933,Guisong Xia
153935708,J. F. Torres
2031866252,D. Hadjout
21845095,A. Sebaa
1397728402,F. Martínez-Álvarez
6352591,A. T. Lora
144372023,B. R. Kiran
143995880,Ibrahim Sobh
51440610,V. Talpaert
46964021,P. Mannion
3066869,A. A. Sallab
2601522,S. Yogamani
2066449716,P. P'erez
1490534977,Christian Garbin
1694121,Xingquan Zhu
144161771,Oge Marques
1399003993,F. Emmert-Streib
1698784963,Zhenyi Yang
2113276011,Han Feng
89377594,S. Tripathi
1792351,M. Dehmer
